pdf_id,clube,fonte,titulo,url,arquivo,data_documento,ficheiro_texto,montantes_candidatos,taxas_candidatas,datas_candidatas,prazos_candidatos,extracao_validada,notas_extracao
937191c4f27afea3,sporting,cmvm,,https://web3.cmvm.pt/sdi/emitentes/docs/CONV69832.pdf,https://arquivo.pt/wayback/20200625155426/https://web3.cmvm.pt/sdi/emitentes/docs/CONV69832.pdf,2020-06-25,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/937191c4f27afea3.txt,€67.000.000 | 30 | 201 | 13 324 000 | 503.994.499 | 26 | 1 | 4 | 393 | 14 | 2,,"30 de Setembro de 2018 | 26 de Outubro de 2018 | 14 de
Setembro de 2018 | 2 de Outubro de 2018",5 anos,0,
097c7fdb4f356526,sporting,cmvm,Microsoft Word - cmvm saÃ­da do treiandor ruben amorim e anÃºncio de nova equipa tÃ©cnica,https://web3.cmvm.pt/sdi/emitentes/docs/fsd855962.pdf,https://arquivo.pt/wayback/20200930204613/https://web3.cmvm.pt/sdi/emitentes/docs/fsd855962.pdf,2020-09-30,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/097c7fdb4f356526.txt,"6.000.000 | 30 | 201 | 19.094.218 | 31 | 8.795.610 | 12 | 470 | 087 | 504 | 248 | 10.000.000,00 | 5.000.000,00 | 6 | 202 | 5",6%,30 de junho de 2019 | 31 de dezembro de 2018 | 6 de Março de 2020 | 5 de Setembro de 2020 | 30 de Março de 2020 | 05 de Março de 2020,,0,
1c94c1eae66c861c,sporting,cmvm,CI - 001/CTB/96,https://web3.cmvm.pt:80/sdi2004/emitentes/docs/CONV33248.pdf,https://arquivo.pt/wayback/20200512131535/https://web3.cmvm.pt:80/sdi2004/emitentes/docs/CONV33248.pdf,2020-05-12,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/1c94c1eae66c861c.txt,,,,,0,
861a01292acb99b9,sporting,cmvm,,https://web3.cmvm.pt:80/sdi2004/emitentes/docs/FR52871.pdf,https://arquivo.pt/wayback/20201003231104/https://web3.cmvm.pt:80/sdi2004/emitentes/docs/FR52871.pdf,2020-10-03,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/861a01292acb99b9.txt,"39 000 000 euros | 118 030.000 | 01 | 201 | 503 | 99 | 44 | 248 | 12 | 21 | 30 | 20
milhões | 22 | 31 | 17 | 12,65 milhões","5% | 20% | 40% | 50% | 2,5% | 25% | 15%","01 de Outubro de 2014 | 12 de Abril de 2013 | 30 de Junho de
2013 | 14 de Novembro de 2014",,0,
449a4ce95e567fbc,sporting,cmvm,,https://web3.cmvm.pt:80/sdi/emitentes/docs/CONV73256.pdf,https://arquivo.pt/wayback/20190921162920/https://web3.cmvm.pt:80/sdi/emitentes/docs/CONV73256.pdf,2019-09-21,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/449a4ce95e567fbc.txt,€67.000.000 | 30 | 201 | 13 324 000 | 503.994.499 | 01 | 1 | 9,50% | 88% | 75%,"30 de Setembro de 2018 | 01 de Outubro de 2019 | 1
de Outubro de 2019 | 1 de Outubro de 2019 | 30 de
Junho de 2019 | 9 de Setembro de 2019 | 6 de setembro de 2019 | 26 de outubro de 2018 | 30 de setembro de 2018",5 anos,0,
1a3cd7e938a4212a,sporting,cmvm,,https://web3.cmvm.pt/sdi/emitentes/docs/FR73078.pdf,https://arquivo.pt/wayback/20191116084951/https://web3.cmvm.pt/sdi/emitentes/docs/FR73078.pdf,2019-11-16,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/1a3cd7e938a4212a.txt,"EUR 67.000.000,00 | 29 | 201 | 13 324 000 | 503 994 499 | 248 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 20",,29 de setembro de 2018 | 20 de Agosto de 2019,,0,
94cb8431b65aba1c,sporting,cmvm,,https://web3.cmvm.pt:80/sdi/emitentes/docs/FR67894.pdf,https://arquivo.pt/wayback/20201003231056/https://web3.cmvm.pt:80/sdi/emitentes/docs/FR67894.pdf,2020-10-03,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/94cb8431b65aba1c.txt,"€67.000.000 | 29 | 201 | 5 618 000 | 503.994.499 | 248 | 1 | 2 | 30
milhões | 3 | 4 | 5 | 6 | 7",,29 de Setembro de 2017 | 10 de Abril de 2018,,0,
57f2669d74cb1d46,sporting,cmvm,Microsoft Word - RelatÃ³rio e Contas Sporting SAD_Jun20_v10,https://web3.cmvm.pt/sdi/emitentes/docs/PC76834.pdf,https://arquivo.pt/wayback/20200913194138/https://web3.cmvm.pt/sdi/emitentes/docs/PC76834.pdf,2020-09-13,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/57f2669d74cb1d46.txt,3 | 5 | 28 | 84 | 85 | 86 | 87 | 88 | 89 | 30 | 202 | 90 | 168 | 177 | 180 | 201 | 20 | 2,51% | 16% | 12% | 22% | 50% | 30% | 15% | 60% | 98% | 8% | 1%,"30 de Junho de 2020 | 1 de Outubro de 2019 | 1 de Julho de 2019 | 14 de
Junho de 2018 | 31 de Agosto de 2019 | 2 de Setembro de 2019 | 1 de Setembro de 2019 | 29 de Janeiro de 2020 | 30 de Julho de 2020 | 9 de Outubro de 2019 | 14 de Novembro de 2014 | 9 de
Outubro de 2019 | 11 de março de 2020 | 30 de junho de 2020 | 30 de Junho de
2020 | 30 de Junho de 2019",2 anos | 18 anos | 17 anos | 5 anos | 12 anos | 10 anos | 3 anos | 12 meses,0,
3cd4695c2d6a461b,sporting,cmvm,Microsoft Word - DemonstraÃ§Ãµes Financeiras Sporting SAD Setembro 2018 v1,https://web3.cmvm.pt:80/sdi/emitentes/docs/PCT70057.pdf,https://arquivo.pt/wayback/20191005203959/https://web3.cmvm.pt:80/sdi/emitentes/docs/PCT70057.pdf,2019-10-05,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/3cd4695c2d6a461b.txt,1 | 201 | 2 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 56,"25% | 50% | 35% | 17,5% | 60% | 26,656% | 37,162% | 0,000% | 0,001% | 63,819% | 29,851% | 3,186%","1 de Julho de 2018 | 30 de Setembro de 2018 | 12 de setembro de 2018 | 8 de setembro de 2018 | 14 de setembro de 2018 | 26 de Outubro de 2018 | 14
de Junho de 2018 | 13 de Julho de 2018 | 30 de setembro de 2018 | 14 de Novembro de 2014 | 25 de Maio de 2018 | 20 de Maio de 2018 | 26 de Novembro de 2018 | 30 DE SETEMBRO DE 2018 | 1 de
Julho de 2018 | 29 de Outubro de 2018",23 anos | 12 anos | 12 meses | 25 anos | 1 ano | 6 meses,0,
85cb6c288eef5f3e,sporting,cmvm,Microsoft Word - DemonstraÃ§Ãµes Financeiras Sporting SAD Setembro 2020_v4,https://web3.cmvm.pt/sdi/emitentes/docs/PCT77718.pdf,https://arquivo.pt/wayback/20201211210749/https://web3.cmvm.pt/sdi/emitentes/docs/PCT77718.pdf,2020-12-11,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/85cb6c288eef5f3e.txt,1 | 202 | 2 | 9 | 10 | 11 | 12 | 13 | 14 | 15,"38% | 37% | 25% | 59% | 53% | 29% | 26,656% | 37,162% | 0,000% | 0,001% | 63,819% | 29,851% | 3,186%","1 de Julho de 2020 | 30 de Setembro de 2020 | 13 de Setembro de 2020 | 6 de Outubro de 2020 | 30 de
Setembro de 2020 | 1 de
Outubro de 2020 | 24 de Setembro de
2020 | 23 de Novembro de 2020 | 11 de Dezembro de 2020 | 11 de Março de 2020 | 30 DE SETEMBRO DE 2020 | 30 de Novembro de 2020",12 anos | 12 meses | 25 anos | 1 ano,0,
