fonte,host,clube,query,url,arquivo,tstamp,titulo,data_documento,pdf_id,ficheiro_pdf,ficheiro_texto
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",https://web3.cmvm.pt/sdi2004/emitentes/docs/FR5524.pdf,https://arquivo.pt/wayback/20190420173630/https://web3.cmvm.pt/sdi2004/emitentes/docs/FR5524.pdf,20190420173630, ,2019-04-20,4546b306dae56d4e,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/4546b306dae56d4e.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/4546b306dae56d4e.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",https://web3.cmvm.pt/sdi2004/emitentes/docs/FR24619.pdf,https://arquivo.pt/wayback/20190420173959/https://web3.cmvm.pt/sdi2004/emitentes/docs/FR24619.pdf,20190420173959,(Microsoft Word - Compra_Falc\343o.doc),2019-04-20,3249de84fe670d56,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/3249de84fe670d56.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/3249de84fe670d56.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",https://web3.cmvm.pt:80/sdi2004/emitentes/docs/fsd20191.pdf,https://arquivo.pt/wayback/20190921150711/https://web3.cmvm.pt:80/sdi2004/emitentes/docs/fsd20191.pdf,20190921150711,Prospecto_FC Porto SAD 2011-2014_06052011_versão clean,2019-09-21,66dbb167181dac43,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/66dbb167181dac43.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/66dbb167181dac43.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",http://web3.cmvm.pt/sdi/emitentes/docs/FR67393.pdf,https://arquivo.pt/wayback/20181109141619/http://web3.cmvm.pt/sdi/emitentes/docs/FR67393.pdf,20181109141619,Microsoft Word - Comunicado_Resultados_1S17,2018-11-09,cbe3f9a180f62abb,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/cbe3f9a180f62abb.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/cbe3f9a180f62abb.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",https://web3.cmvm.pt:80/sdi2004/emitentes/docs/fsd30207.pdf,https://arquivo.pt/wayback/20190921150412/https://web3.cmvm.pt:80/sdi2004/emitentes/docs/fsd30207.pdf,20190921150412,FCP,2019-09-21,0421bc82aa1c981b,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/0421bc82aa1c981b.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/0421bc82aa1c981b.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",http://web3.cmvm.pt/sdi2004/emitentes/docs/fsd20191.pdf,https://arquivo.pt/wayback/20181018031057/http://web3.cmvm.pt/sdi2004/emitentes/docs/fsd20191.pdf,20181018031057,Prospecto_FC Porto SAD 2011-2014_06052011_versão clean,2018-10-18,f57533ab63f404f6,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/f57533ab63f404f6.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/f57533ab63f404f6.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",http://web3.cmvm.pt/sdi/emitentes/docs/FR3303.pdf,https://arquivo.pt/wayback/20181018031755/http://web3.cmvm.pt/sdi/emitentes/docs/FR3303.pdf,20181018031755,Microsoft Word - Rescisao_Delneri_09-08-2004.doc,2018-10-18,9fdc35b2c0b68a59,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/9fdc35b2c0b68a59.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/9fdc35b2c0b68a59.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",http://web3.cmvm.pt/sdi2004/emitentes/docs/FR24316.pdf,https://arquivo.pt/wayback/20181018031023/http://web3.cmvm.pt/sdi2004/emitentes/docs/FR24316.pdf,20181018031023,Microsoft Word - Venda_Cissokho_14-06-2009.doc,2018-10-18,981b3f11de3633d7,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/981b3f11de3633d7.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/981b3f11de3633d7.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",http://web3.cmvm.pt/SDI/emitentes/docs/CONV69975.pdf,https://arquivo.pt/wayback/20181025233450/http://web3.cmvm.pt/SDI/emitentes/docs/CONV69975.pdf,20181025233450,Microsoft Word - AG_2018_08-11-2018_Convocatoria_ESCLARECIMENTO,2018-10-25,96ec6cbce34b1784,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/96ec6cbce34b1784.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/96ec6cbce34b1784.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",http://web3.cmvm.pt/sdi2004/emitentes/docs/fsd30207.pdf,https://arquivo.pt/wayback/20181018030817/http://web3.cmvm.pt/sdi2004/emitentes/docs/fsd30207.pdf,20181018030817,FCP,2018-10-18,befbf2739f415dd6,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/befbf2739f415dd6.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/befbf2739f415dd6.txt
