fonte,2019,2020,2021,2024,2025
observador,36,14,0,0,0
negocios,23,13,0,0,0
publico,8,9,0,0,0
record,19,24,0,0,0
abola,14,36,1,0,0
ojogo,13,19,1,1,1
maisfutebol,7,9,0,0,0
