doc_id,fonte,tipo_fonte,url_original,url_canonico,url_arquivo,link_texto,tstamp_captura,data_publicacao,titulo,mime,clubes,queries,n_capturas,url_embebido_arquivo,par_url_valido,url_para_revisao
b4c78e131fe78cc4,negocios,noticiosa,https://www.jornaldenegocios.pt/sabermais/Jer%C3%B3nimo-Martins,https://jornaldenegocios.pt/sabermais/Jer%C3%B3nimo-Martins,https://arquivo.pt/wayback/20200513193356/https://www.jornaldenegocios.pt/sabermais/Jer%C3%B3nimo-Martins,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.jornaldenegocios.pt%2Fsabermais%2FJer%25C3%25B3nimo-Martins%2F20200513193356,20200513193356,,sabermais - Jornal de Negócios,text/html,['porto'],"['""F.C. Porto SAD""', '""FC Porto SAD""', '""FC Porto, SAD""', '""Porto SAD""', '""Porto, SAD""']",5,https://www.jornaldenegocios.pt/sabermais/Jerónimo-Martins,False,https://www.jornaldenegocios.pt/sabermais/Jer%C3%B3nimo-Martins
b66e1dde072580b4,maisfutebol,noticiosa,https://maisfutebol.iol.pt/pesquisa/%20Renato%20Sanches,https://maisfutebol.iol.pt/pesquisa/%20Renato%20Sanches,https://arquivo.pt/wayback/20200328004738/https://maisfutebol.iol.pt/pesquisa/%20Renato%20Sanches,https://arquivo.pt/textextracted?m=https%3A%2F%2Fmaisfutebol.iol.pt%2Fpesquisa%2F%2520Renato%2520Sanches%2F20200328004738,20200328004738,,Pesquisa de Renato Sanches,text/html,['benfica'],"['""Benfica SAD""', '""Benfica, SAD""']",2,https://maisfutebol.iol.pt/pesquisa/ Renato Sanches,False,https://maisfutebol.iol.pt/pesquisa/%20Renato%20Sanches
c66534d4f98c9f58,negocios,noticiosa,https://www.jornaldenegocios.pt/sabermais/titulariza%C3%A7%C3%A3o,https://jornaldenegocios.pt/sabermais/titulariza%C3%A7%C3%A3o,https://arquivo.pt/wayback/20200508013820/https://www.jornaldenegocios.pt/sabermais/titulariza%C3%A7%C3%A3o,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.jornaldenegocios.pt%2Fsabermais%2Ftitulariza%25C3%25A7%25C3%25A3o%2F20200508013820,20200508013820,,sabermais - Jornal de Negócios,text/html,['sporting'],"['""Sporting SAD""', '""Sporting, SAD""']",2,https://www.jornaldenegocios.pt/sabermais/titularização,False,https://www.jornaldenegocios.pt/sabermais/titulariza%C3%A7%C3%A3o
c6a31aa24c84f26c,record,noticiosa,https://www.record.pt/sabermais/paulo-gon%C3%A7alves,https://record.pt/sabermais/paulo-gon%C3%A7alves,https://arquivo.pt/wayback/20190522161320/https://www.record.pt/sabermais/paulo-gon%C3%A7alves,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.record.pt%2Fsabermais%2Fpaulo-gon%25C3%25A7alves%2F20190522161320,20190522161320,,Saber Mais: Paulo Gonçalves,text/html,['benfica'],"['""Benfica SAD""', '""Benfica, SAD""']",2,https://www.record.pt/sabermais/paulo-gonçalves,False,https://www.record.pt/sabermais/paulo-gon%C3%A7alves
d5a1eb665392e471,maisfutebol,noticiosa,https://maisfutebol.iol.pt/pesquisa/Domingos+Soares%20de%20Oliveira,https://maisfutebol.iol.pt/pesquisa/Domingos+Soares%20de%20Oliveira,https://arquivo.pt/wayback/20190402133618/https://maisfutebol.iol.pt/pesquisa/Domingos+Soares%20de%20Oliveira,https://arquivo.pt/textextracted?m=https%3A%2F%2Fmaisfutebol.iol.pt%2Fpesquisa%2FDomingos%2BSoares%2520de%2520Oliveira%2F20190402133618,20190402133618,,Pesquisa de Domingos Soares de Oliveira,text/html,['benfica'],"['""Benfica SAD""', '""Benfica, SAD""']",2,https://maisfutebol.iol.pt/pesquisa/Domingos+Soares de Oliveira,False,https://maisfutebol.iol.pt/pesquisa/Domingos+Soares%20de%20Oliveira
e17515f0c1c143c5,negocios,noticiosa,https://www.jornaldenegocios.pt/sabermais/emiss%C3%A3o,https://jornaldenegocios.pt/sabermais/emiss%C3%A3o,https://arquivo.pt/wayback/20200503013524/https://www.jornaldenegocios.pt/sabermais/emiss%C3%A3o,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.jornaldenegocios.pt%2Fsabermais%2Femiss%25C3%25A3o%2F20200503013524,20200503013524,,sabermais - Jornal de Negócios,text/html,['porto'],"['""F.C. Porto SAD""', '""FC Porto SAD""', '""FC Porto, SAD""', '""Porto SAD""', '""Porto, SAD""']",5,https://www.jornaldenegocios.pt/sabermais/emissão,False,https://www.jornaldenegocios.pt/sabermais/emiss%C3%A3o
e7d7e77dc053ad3f,negocios,noticiosa,https://www.jornaldenegocios.pt/sabermais/coronav%C3%ADrus,https://jornaldenegocios.pt/sabermais/coronav%C3%ADrus,https://arquivo.pt/wayback/20200513192928/https://www.jornaldenegocios.pt/sabermais/coronav%C3%ADrus,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.jornaldenegocios.pt%2Fsabermais%2Fcoronav%25C3%25ADrus%2F20200513192928,20200513192928,,sabermais - Jornal de Negócios,text/html,['porto'],"['""F.C. Porto SAD""', '""FC Porto SAD""', '""FC Porto, SAD""', '""Porto SAD""', '""Porto, SAD""']",5,https://www.jornaldenegocios.pt/sabermais/coronavírus,False,https://www.jornaldenegocios.pt/sabermais/coronav%C3%ADrus
f3c895ecc5caf042,record,noticiosa,https://www.record.pt/sabermais/rugidos-de-le%C3%A3o,https://record.pt/sabermais/rugidos-de-le%C3%A3o,https://arquivo.pt/wayback/20191109203942/https://www.record.pt/sabermais/rugidos-de-le%C3%A3o,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.record.pt%2Fsabermais%2Frugidos-de-le%25C3%25A3o%2F20191109203942,20191109203942,,Saber Mais: Rugidos De Leão,text/html,['sporting'],"['""Sporting SAD""', '""Sporting, SAD""']",2,https://www.record.pt/sabermais/rugidos-de-leão,False,https://www.record.pt/sabermais/rugidos-de-le%C3%A3o
f601e275250dbc73,record,noticiosa,https://www.record.pt/sabermais/lu%C3%ADs-bernardo,https://record.pt/sabermais/lu%C3%ADs-bernardo,https://arquivo.pt/wayback/20190523022051/https://www.record.pt/sabermais/lu%C3%ADs-bernardo,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.record.pt%2Fsabermais%2Flu%25C3%25ADs-bernardo%2F20190523022051,20190523022051,,Saber Mais: Luís Bernardo,text/html,['benfica'],"['""Benfica SAD""', '""Benfica, SAD""']",2,https://www.record.pt/sabermais/luís-bernardo,False,https://www.record.pt/sabermais/lu%C3%ADs-bernardo
f9b86b6e4e214bd6,record,noticiosa,http://liga.record.pt/sabermais/neg%C3%B3cios-e-finan%C3%A7as,https://liga.record.pt/sabermais/neg%C3%B3cios-e-finan%C3%A7as,https://arquivo.pt/wayback/20200702194005/http://liga.record.pt/sabermais/neg%C3%B3cios-e-finan%C3%A7as,https://arquivo.pt/textextracted?m=http%3A%2F%2Fliga.record.pt%2Fsabermais%2Fneg%25C3%25B3cios-e-finan%25C3%25A7as%2F20200702194005,20200702194005,,Saber Mais: Negócios E Finanças,text/html,['sporting'],"['""Sporting SAD""', '""Sporting, SAD""']",2,http://liga.record.pt/sabermais/negócios-e-finanças,False,http://liga.record.pt/sabermais/neg%C3%B3cios-e-finan%C3%A7as
